DATE,inflation
1960-01-01,1.35869565217391
1961-01-01,1.01876675603215
1962-01-01,1.06157112526541
1963-01-01,1.6281512605042
1964-01-01,1.91214470284239
1965-01-01,2.33265720081134
1966-01-01,3.81565906838456
1967-01-01,3.57995226730307
1968-01-01,4.05529953917053
1969-01-01,4.56155890168291
1970-01-01,3.34603981363828
1971-01-01,2.70491803278688
1972-01-01,4.9880287310455
1973-01-01,7.48764728240213
1974-01-01,10.997171145686
1975-01-01,10.672188595094
1976-01-01,7.54173862982152
1977-01-01,7.97644539614562
1978-01-01,8.97372335151215
1979-01-01,9.1446769790719
1980-01-01,10.1292205085452
1981-01-01,12.4716124148373
1982-01-01,10.7689718997139
1983-01-01,5.86358802977366
1984-01-01,4.30477830391736
1985-01-01,3.96203054065208
1986-01-01,4.19478629085617
1987-01-01,4.3561087122174
1988-01-01,4.02823414871611
1989-01-01,4.98362189985959
1990-01-01,4.78047693336305
1991-01-01,5.62586408593004
1992-01-01,1.49013290374545
1993-01-01,1.86507936507936
1994-01-01,0.165562913907281
1995-01-01,2.14876033057852
1996-01-01,1.57053112507137
1997-01-01,1.62121638084528
1998-01-01,0.995942456658074
1999-01-01,1.73484295105918
2000-01-01,2.71943995691972
2001-01-01,2.52512013979907
2002-01-01,2.25839440940856
2003-01-01,2.75856321360112
2004-01-01,1.85725871857261
2005-01-01,2.21355203439764
2006-01-01,2.00202539534156
2007-01-01,2.13838399266843
2008-01-01,2.37027067444294
2009-01-01,0.299466803009284
2010-01-01,1.77687154092629
2011-01-01,2.91213508872355
2012-01-01,1.51567823124521
2013-01-01,0.93829189781521
2014-01-01,1.90663590717873
2015-01-01,1.12524136094279
2016-01-01,1.4287595470108
2017-01-01,1.5968841285297
2018-01-01,2.268225672481
2019-01-01,1.94926902411596
2020-01-01,0.716999632307852
2021-01-01,3.39519318527532
2022-01-01,3.39519318527532
2023-01-01,3.39519318527532
