DATE,RGDPNAINA666NRUG
1950-01-01,308114.25
1951-01-01,313911.75
1952-01-01,329856.875
1953-01-01,348906.40625
1954-01-01,362016.65625
1955-01-01,370055.71875
1956-01-01,380155.6875
1957-01-01,380399.84375
1958-01-01,407360.9375
1959-01-01,415425.03125
1960-01-01,447577.28125
1961-01-01,463627.1875
1962-01-01,479086.375
1963-01-01,510559.40625
1964-01-01,548507.4375
1965-01-01,536750
1966-01-01,534683.3125
1967-01-01,577124.1875
1968-01-01,606516.375
1969-01-01,674447.25
1970-01-01,684888.8125
1971-01-01,696140.9375
1972-01-01,692289.25
1973-01-01,715103.8125
1974-01-01,723580.125
1975-01-01,789787.125
1976-01-01,802922.0625
1977-01-01,861172.1875
1978-01-01,910366.875
1979-01-01,862680.25
1980-01-01,920788.8125
1981-01-01,976093.25
1982-01-01,1010019.6875
1983-01-01,1083638.875
1984-01-01,1125042
1985-01-01,1184155
1986-01-01,1240717
1987-01-01,1289915.75
1988-01-01,1414106.125
1989-01-01,1498207.75
1990-01-01,1581110.375
1991-01-01,1597820.125
1992-01-01,1685419
1993-01-01,1765489.375
1994-01-01,1883052
1995-01-01,2025683.75
1996-01-01,2178613
1997-01-01,2266842.75
1998-01-01,2407034
1999-01-01,2619954.25
2000-01-01,2720586.5
2001-01-01,2851826.75
2002-01-01,2960309.5
2003-01-01,3193001.25
2004-01-01,3445980.75
2005-01-01,3719020.5
2006-01-01,4018801
2007-01-01,4326674
2008-01-01,4460225.5
2009-01-01,4810883
2010-01-01,5219692
2011-01-01,5493272.5
2012-01-01,5793006
2013-01-01,6162954
2014-01-01,6619643.5
2015-01-01,7148966.5
2016-01-01,7739207
2017-01-01,8284343
2018-01-01,8791310
2019-01-01,9163052
2020-01-01,9348562
2021-01-01,9632547
2022-01-01,9842178
2023-01-01,9842178
2024-01-01,9842178
