DATE,CLVMNACSAB1GQCH
1980-01-01,92283.3
1980-04-01,92168.3
1980-07-01,92761.7
1980-10-01,93279.1
1981-01-01,93184.2
1981-04-01,94240
1981-07-01,94729.2
1981-10-01,94357.3
1982-01-01,93663.5
1982-04-01,92941.7
1982-07-01,92668.5
1982-10-01,92392.9
1983-01-01,93146.7
1983-04-01,93051.2
1983-07-01,93579.5
1983-10-01,94025.1
1984-01-01,95193.6
1984-04-01,95366
1984-07-01,96824.4
1984-10-01,97740.2
1985-01-01,99068.7
1985-04-01,99597.3
1985-07-01,99867.1
1985-10-01,100691.7
1986-01-01,100758.1
1986-04-01,102120.1
1986-07-01,101932.4
1986-10-01,101834.6
1987-01-01,101783.4
1987-04-01,102594.5
1987-07-01,103945.4
1987-10-01,104758.7
1988-01-01,105362.5
1988-04-01,105667.7
1988-07-01,106857
1988-10-01,108940
1989-01-01,109274.2
1989-04-01,111356.5
1989-07-01,111720.6
1989-10-01,113045
1990-01-01,115708.1
1990-04-01,115848
1990-07-01,115292.9
1990-10-01,115022.3
1991-01-01,115118.9
1991-04-01,114256.3
1991-07-01,113942.7
1991-10-01,114217.9
1992-01-01,115338.5
1992-04-01,114943
1992-07-01,113946
1992-10-01,113096.4
1993-01-01,112890.4
1993-04-01,114029.9
1993-07-01,114648.9
1993-10-01,115126.6
1994-01-01,115844.8
1994-04-01,114520.8
1994-07-01,115728.2
1994-10-01,116423.3
1995-01-01,116099.3
1995-04-01,115905.2
1995-07-01,116446.6
1995-10-01,116254.8
1996-01-01,117125
1996-04-01,116430
1996-07-01,116472.6
1996-10-01,116911
1997-01-01,117744.1
1997-04-01,118854.3
1997-07-01,119967.3
1997-10-01,120866.1
1998-01-01,121806.9
1998-04-01,123181.3
1998-07-01,123491.8
1998-10-01,123366.9
1999-01-01,123257.6
1999-04-01,123966.4
1999-07-01,124940.1
1999-10-01,127948.7
2000-01-01,128981.1
2000-04-01,128994.3
2000-07-01,130159.8
2000-10-01,131808
2001-01-01,131948.2
2001-04-01,132300.1
2001-07-01,132094.8
2001-10-01,131859.8
2002-01-01,131641.3
2002-04-01,132361
2002-07-01,132224.4
2002-10-01,131528.7
2003-01-01,130908.7
2003-04-01,130668.2
2003-07-01,132265.1
2003-10-01,133825.5
2004-01-01,134654.2
2004-04-01,135464.2
2004-07-01,135687.9
2004-10-01,136004
2005-01-01,136807.2
2005-04-01,138729.4
2005-07-01,139776.4
2005-10-01,141332.9
2006-01-01,143403.2
2006-04-01,144135
2006-07-01,145045.3
2006-10-01,146823.3
2007-01-01,148058.7
2007-04-01,150076
2007-07-01,151201
2007-10-01,152743.6
2008-01-01,153845
2008-04-01,156319.9
2008-07-01,156792.8
2008-10-01,152012.3
2009-01-01,149071.4
2009-04-01,149972.8
2009-07-01,152410.5
2009-10-01,153281.5
2010-01-01,154508.1
2010-04-01,155514.2
2010-07-01,156535.4
2010-10-01,157796.4
2011-01-01,158734.9
2011-04-01,159334.1
2011-07-01,158779.3
2011-10-01,158889.9
2012-01-01,160233.7
2012-04-01,160080.6
2012-07-01,161352
2012-10-01,161517
2013-01-01,161844.1
2013-04-01,163459.8
2013-07-01,164591.5
2013-10-01,164767.2
2014-01-01,165635.2
2014-04-01,166985.5
2014-07-01,168224.4
2014-10-01,169305.7
2015-01-01,168708.2
2015-04-01,169669.1
2015-07-01,171003.2
2015-10-01,171834.7
2016-01-01,172205.3
2016-04-01,173735.7
2016-07-01,174518.7
2016-10-01,174812.2
2017-01-01,175385.3
2017-04-01,175253.9
2017-07-01,176198.6
2017-10-01,177940.8
2018-01-01,180026.4
2018-04-01,182070.3
2018-07-01,181099.5
2018-10-01,181693.9
2019-01-01,181930.7
2019-04-01,182686.4
2019-07-01,183867.9
2019-10-01,184731.2
2020-01-01,182256.6
2020-04-01,169176.3
2020-07-01,181922.1
2020-10-01,182419.5
2021-01-01,181892.8
2021-04-01,185608.7
2021-07-01,189138.7
2021-10-01,189292
2022-01-01,190001.6
2022-04-01,189766.2
2022-07-01,190177.5
2022-10-01,190177.5
2023-01-01,190177.5
